rank;infinitiv;Ind_Präsens_1S;Ind_Präsens_2S;Indicatif_Présent_il_(elle,_on);Ind_Präsens_1P;Ind_Präsens_2P;Indicatif_Présent_ils_(elles);Imperatif_Imperatif_Présent_;Partizip_Präsens;Participe_Participe_Passé_masculin_singulier;Participe_Participe_Passé_feminin_singulier;Participe_Participe_Passé_masculin_pluriel;Participe_Participe_Passé_feminin_pluriel;Ind_Futur_1S;Ind_Futur_2S;Indicatif_Futur_il_(elle,_on);Ind_Futur_1P;Ind_Futur_2P;Indicatif_Futur_ils_(elles);Ind_Imperfekt_1S;Ind_Imperfekt_2S;Indicatif_Imparfait_il_(elle,_on);Ind_Imperfekt_1P;Ind_Imperfekt_2P;Indicatif_Imparfait_ils_(elles);Cond_Präsens_1S;Cond_Präsens_2S;Conditionnel_Présent_il_(elle,_on);Cond_Präsens_1P;Cond_Präsens_2P;Conditionnel_Présent_ils_(elles);Subjonctif_Présent_je;Subjonctif_Présent_tu;Subjonctif_Présent_il_(elle,_on);Subjonctif_Présent_nous;Subjonctif_Présent_vous;Subjonctif_Présent_ils_(elles);Indicatif_Passé_Simple_je;Indicatif_Passé_Simple_tu;Indicatif_Passé_Simple_il_(elle,_on);Indicatif_Passé_Simple_nous;Indicatif_Passé_Simple_vous;Indicatif_Passé_Simple_ils_(elles);Subjonctif_Imparfait_je;Subjonctif_Imparfait_tu;Subjonctif_Imparfait_il_(elle,_on);Subjonctif_Imparfait_nous;Subjonctif_Imparfait_vous;Subjonctif_Imparfait_ils_(elles)
1589;affecter;affecte;affectes;affecte;affectons;affectez;affectent;affectez;affectant;affecté;affectée;affectés;affectées;affecterai;affecteras;affectera;affecterons;affecterez;affecteront;affectais;affectais;affectait;affections;affectiez;affectaient;affecterais;affecterais;affecterait;affecterions;affecteriez;affecteraient;affecte;affectes;affecte;affections;affectiez;affectent;affectai;affectas;affecta;affectâmes;affectâtes;affectèrent;affectasse;affectasses;affectât;affectassions;affectassiez;affectassent
1591;similaire;similais;similais;similaît;similaisons;similaisez;similaisent;similaisez;similaisant;similu;similue;similus;similues;similairai;similairas;similaira;similairons;similairez;similairont;similaisais;similaisais;similaisait;similaisions;similaisiez;similaisaient;similairais;similairais;similairait;similairions;similairiez;similairaient;similaise;similaises;similaise;similaisions;similaisiez;similaisent;similus;similus;similut;similûmes;similûtes;similurent;similusse;similusses;similût;similussions;similussiez;similussent
1593;atelier;atelie;atelies;atelie;atelions;ateliez;atelient;ateliez;ateliant;atelié;ateliée;ateliés;ateliées;atelierai;atelieras;ateliera;atelierons;atelierez;atelieront;ateliais;ateliais;ateliait;ateliions;ateliiez;ateliaient;atelierais;atelierais;atelierait;atelierions;atelieriez;atelieraient;atelie;atelies;atelie;ateliions;ateliiez;atelient;ateliai;atelias;atelia;ateliâmes;ateliâtes;atelièrent;ateliasse;ateliasses;ateliât;ateliassions;ateliassiez;ateliassent
1600;varier;varie;varies;varie;varions;variez;varient;variez;variant;varié;variée;variés;variées;varierai;varieras;variera;varierons;varierez;varieront;variais;variais;variait;variions;variiez;variaient;varierais;varierais;varierait;varierions;varieriez;varieraient;varie;varies;varie;variions;variiez;varient;variai;varias;varia;variâmes;variâtes;varièrent;variasse;variasses;variât;variassions;variassiez;variassent
1605;demeure;demeus;demeus;demeut;demeuons;demeuez;demeuent;demeuez;demeuant;demeu;demeue;demeus;demeues;demeurai;demeuras;demeura;demeurons;demeurez;demeuront;demeuais;demeuais;demeuait;demeuions;demeuiez;demeuaient;demeurais;demeurais;demeurait;demeurions;demeuriez;demeuraient;demeue;demeues;demeue;demeuions;demeuiez;demeuent;demeus;demeus;demeut;demeûmes;demeûtes;demeurent;demeusse;demeusses;demeût;demeussions;demeussiez;demeussent
1610;diminuer;diminue;diminues;diminue;diminuons;diminuez;diminuent;diminuez;diminuant;diminué;diminuée;diminués;diminuées;diminuerai;diminueras;diminuera;diminuerons;diminuerez;diminueront;diminuais;diminuais;diminuait;diminuions;diminuiez;diminuaient;diminuerais;diminuerais;diminuerait;diminuerions;diminueriez;diminueraient;diminue;diminues;diminue;diminuions;diminuiez;diminuent;diminuai;diminuas;diminua;diminuâmes;diminuâtes;diminuèrent;diminuasse;diminuasses;diminuât;diminuassions;diminuassiez;diminuassent
1611;maître;mais;mais;maît;maissons;maissez;maissent;maissez;maissant;mu;mue;mus;mues;maîtrai;maîtras;maîtra;maîtrons;maîtrez;maîtront;maissais;maissais;maissait;maissions;maissiez;maissaient;maîtrais;maîtrais;maîtrait;maîtrions;maîtriez;maîtraient;maisse;maisses;maisse;maissions;maissiez;maissent;mus;mus;mut;mûmes;mûtes;murent;musse;musses;mût;mussions;mussiez;mussent
1613;ressentir;ressens;ressens;ressent;ressentons;ressentez;ressentent;ressentez;ressentant;ressenti;ressentie;ressentis;ressenties;ressentirai;ressentiras;ressentira;ressentirons;ressentirez;ressentiront;ressentais;ressentais;ressentait;ressentions;ressentiez;ressentaient;ressentirais;ressentirais;ressentirait;ressentirions;ressentiriez;ressentiraient;ressente;ressentes;ressente;ressentions;ressentiez;ressentent;ressentis;ressentis;ressentit;ressentîmes;ressentîtes;ressentirent;ressentisse;ressentisses;ressentît;ressentissions;ressentissiez;ressentissent
1620;meurtre;meuis;meuis;meuit;meuivons;meuivez;meuivent;meuivez;meuivant;meuécu;meuécue;meuécus;meuécues;meuivrai;meuivras;meuivra;meuivrons;meuivrez;meuivront;meuivais;meuivais;meuivait;meuivions;meuiviez;meuivaient;meuivrais;meuivrais;meuivrait;meuivrions;meuivriez;meuivraient;meuive;meuives;meuive;meuivions;meuiviez;meuivent;meuécus;meuécus;meuécut;meuécûmes;meuécûtes;meuécurent;meuécusse;meuécusses;meuécût;meuécussions;meuécussiez;meuécussent
1627;classer;classe;classes;classe;classons;classez;classent;classez;classant;classé;classée;classés;classées;classerai;classeras;classera;classerons;classerez;classeront;classais;classais;classait;classions;classiez;classaient;classerais;classerais;classerait;classerions;classeriez;classeraient;classe;classes;classe;classions;classiez;classent;classai;classas;classa;classâmes;classâtes;classèrent;classasse;classasses;classât;classassions;classassiez;classassent
1629;appartenir;appartiens;appartiens;appartient;appartenons;appartenez;appartiennent;appartenez;appartenant;appartenu;appartenue;appartenus;appartenues;appartiendrai;appartiendras;appartiendra;appartiendrons;appartiendrez;appartiendront;appartenais;appartenais;appartenait;appartenions;apparteniez;appartenaient;appartiendrais;appartiendrais;appartiendrait;appartiendrions;appartiendriez;appartiendraient;appartienne;appartiennes;appartienne;appartenions;apparteniez;appartiennent;appartins;appartins;appartint;appartînmes;appartîntes;appartinrent;appartinsse;appartinsses;appartînt;appartinssions;appartinssiez;appartinssent
1632;retourner;retourne;retournes;retourne;retournons;retournez;retournent;retournez;retournant;retourné;retournée;retournés;retournées;retournerai;retourneras;retournera;retournerons;retournerez;retourneront;retournais;retournais;retournait;retournions;retourniez;retournaient;retournerais;retournerais;retournerait;retournerions;retourneriez;retourneraient;retourne;retournes;retourne;retournions;retourniez;retournent;retournai;retournas;retourna;retournâmes;retournâtes;retournèrent;retournasse;retournasses;retournât;retournassions;retournassiez;retournassent
1639;fermeture;fermetus;fermetus;fermetut;fermetuons;fermetuez;fermetuent;fermetuez;fermetuant;fermetu;fermetue;fermetus;fermetues;fermeturai;fermeturas;fermetura;fermeturons;fermeturez;fermeturont;fermetuais;fermetuais;fermetuait;fermetuions;fermetuiez;fermetuaient;fermeturais;fermeturais;fermeturait;fermeturions;fermeturiez;fermeturaient;fermetue;fermetues;fermetue;fermetuions;fermetuiez;fermetuent;fermetus;fermetus;fermetut;fermetûmes;fermetûtes;fermeturent;fermetusse;fermetusses;fermetût;fermetussions;fermetussiez;fermetussent
1640;prouver;prouve;prouves;prouve;prouvons;prouvez;prouvent;prouvez;prouvant;prouvé;prouvée;prouvés;prouvées;prouverai;prouveras;prouvera;prouverons;prouverez;prouveront;prouvais;prouvais;prouvait;prouvions;prouviez;prouvaient;prouverais;prouverais;prouverait;prouverions;prouveriez;prouveraient;prouve;prouves;prouve;prouvions;prouviez;prouvent;prouvai;prouvas;prouva;prouvâmes;prouvâtes;prouvèrent;prouvasse;prouvasses;prouvât;prouvassions;prouvassiez;prouvassent
1641;plonger;plonge;plonges;plonge;plongeons;plongez;plongent;plongez;plongeant;plongé;plongée;plongés;plongées;plongerai;plongeras;plongera;plongerons;plongerez;plongeront;plongeais;plongeais;plongeait;plongions;plongiez;plongeaient;plongerais;plongerais;plongerait;plongerions;plongeriez;plongeraient;plonge;plonges;plonge;plongions;plongiez;plongent;plongeai;plongeas;plongea;plongeâmes;plongeâtes;plongèrent;plongeasse;plongeasses;plongeât;plongeassions;plongeassiez;plongeassent
1649;flandre;flands;flands;fland;flandons;flandez;flandent;flandez;flandant;flandu;flandue;flandus;flandues;flandrai;flandras;flandra;flandrons;flandrez;flandront;flandais;flandais;flandait;flandions;flandiez;flandaient;flandrais;flandrais;flandrait;flandrions;flandriez;flandraient;flande;flandes;flande;flandions;flandiez;flandent;flandis;flandis;flandit;flandîmes;flandîtes;flandirent;flandisse;flandisses;flandît;flandissions;flandissiez;flandissent
1652;contrôler;contrôle;contrôles;contrôle;contrôlons;contrôlez;contrôlent;contrôlez;contrôlant;contrôlé;contrôlée;contrôlés;contrôlées;contrôlerai;contrôleras;contrôlera;contrôlerons;contrôlerez;contrôleront;contrôlais;contrôlais;contrôlait;contrôlions;contrôliez;contrôlaient;contrôlerais;contrôlerais;contrôlerait;contrôlerions;contrôleriez;contrôleraient;contrôle;contrôles;contrôle;contrôlions;contrôliez;contrôlent;contrôlai;contrôlas;contrôla;contrôlâmes;contrôlâtes;contrôlèrent;contrôlasse;contrôlasses;contrôlât;contrôlassions;contrôlassiez;contrôlassent
1658;entamer;entame;entames;entame;entamons;entamez;entament;entamez;entamant;entamé;entamée;entamés;entamées;entamerai;entameras;entamera;entamerons;entamerez;entameront;entamais;entamais;entamait;entamions;entamiez;entamaient;entamerais;entamerais;entamerait;entamerions;entameriez;entameraient;entame;entames;entame;entamions;entamiez;entament;entamai;entamas;entama;entamâmes;entamâtes;entamèrent;entamasse;entamasses;entamât;entamassions;entamassiez;entamassent
1672;barre;bis;bis;bit;bivons;bivez;bivent;bivez;bivant;bécu;bécue;bécus;bécues;bivrai;bivras;bivra;bivrons;bivrez;bivront;bivais;bivais;bivait;bivions;biviez;bivaient;bivrais;bivrais;bivrait;bivrions;bivriez;bivraient;bive;bives;bive;bivions;biviez;bivent;bécus;bécus;bécut;bécûmes;bécûtes;bécurent;bécusse;bécusses;bécût;bécussions;bécussiez;bécussent
1674;récolter;récolte;récoltes;récolte;récoltons;récoltez;récoltent;récoltez;récoltant;récolté;récoltée;récoltés;récoltées;récolterai;récolteras;récoltera;récolterons;récolterez;récolteront;récoltais;récoltais;récoltait;récoltions;récoltiez;récoltaient;récolterais;récolterais;récolterait;récolterions;récolteriez;récolteraient;récolte;récoltes;récolte;récoltions;récoltiez;récoltent;récoltai;récoltas;récolta;récoltâmes;récoltâtes;récoltèrent;récoltasse;récoltasses;récoltât;récoltassions;récoltassiez;récoltassent
1675;prolonger;prolonge;prolonges;prolonge;prolongeons;prolongez;prolongent;prolongez;prolongeant;prolongé;prolongée;prolongés;prolongées;prolongerai;prolongeras;prolongera;prolongerons;prolongerez;prolongeront;prolongeais;prolongeais;prolongeait;prolongions;prolongiez;prolongeaient;prolongerais;prolongerais;prolongerait;prolongerions;prolongeriez;prolongeraient;prolonge;prolonges;prolonge;prolongions;prolongiez;prolongent;prolongeai;prolongeas;prolongea;prolongeâmes;prolongeâtes;prolongèrent;prolongeasse;prolongeasses;prolongeât;prolongeassions;prolongeassiez;prolongeassent
1677;originaire;originais;originais;originait;originaisons;originaites;originont;originaites;originaisant;originait;originaite;originaits;originaites;originerai;origineras;originera;originerons;originerez;origineront;originaisais;originaisais;originaisait;originaisions;originaisiez;originaisaient;originerais;originerais;originerait;originerions;origineriez;origineraient;originasse;originasses;originasse;originassions;originassiez;originassent;originis;originis;originit;originîmes;originîtes;originirent;originisse;originisses;originît;originissions;originissiez;originissent
1679;circuler;circule;circules;circule;circulons;circulez;circulent;circulez;circulant;circulé;circulée;circulés;circulées;circulerai;circuleras;circulera;circulerons;circulerez;circuleront;circulais;circulais;circulait;circulions;circuliez;circulaient;circulerais;circulerais;circulerait;circulerions;circuleriez;circuleraient;circule;circules;circule;circulions;circuliez;circulent;circulai;circulas;circula;circulâmes;circulâtes;circulèrent;circulasse;circulasses;circulât;circulassions;circulassiez;circulassent
1680;franchir;franchis;franchis;franchit;franchissons;franchissez;franchissent;franchissez;franchissant;franchi;franchie;franchis;franchies;franchirai;franchiras;franchira;franchirons;franchirez;franchiront;franchissais;franchissais;franchissait;franchissions;franchissiez;franchissaient;franchirais;franchirais;franchirait;franchirions;franchiriez;franchiraient;franchisse;franchisses;franchisse;franchissions;franchissiez;franchissent;franchis;franchis;franchit;franchîmes;franchîtes;franchirent;franchisse;franchisses;franchît;franchissions;franchissiez;franchissent
1681;spécialiser;spécialise;spécialises;spécialise;spécialisons;spécialisez;spécialisent;spécialisez;spécialisant;spécialisé;spécialisée;spécialisés;spécialisées;spécialiserai;spécialiseras;spécialisera;spécialiserons;spécialiserez;spécialiseront;spécialisais;spécialisais;spécialisait;spécialisions;spécialisiez;spécialisaient;spécialiserais;spécialiserais;spécialiserait;spécialiserions;spécialiseriez;spécialiseraient;spécialise;spécialises;spécialise;spécialisions;spécialisiez;spécialisent;spécialisai;spécialisas;spécialisa;spécialisâmes;spécialisâtes;spécialisèrent;spécialisasse;spécialisasses;spécialisât;spécialisassions;spécialisassiez;spécialisassent
1682;budgétaire;budgétais;budgétais;budgétait;budgétaisons;budgétaites;budgétont;budgétaites;budgétaisant;budgétait;budgétaite;budgétaits;budgétaites;budgéterai;budgéteras;budgétera;budgéterons;budgéterez;budgéteront;budgétaisais;budgétaisais;budgétaisait;budgétaisions;budgétaisiez;budgétaisaient;budgéterais;budgéterais;budgéterait;budgéterions;budgéteriez;budgéteraient;budgétasse;budgétasses;budgétasse;budgétassions;budgétassiez;budgétassent;budgétis;budgétis;budgétit;budgétîmes;budgétîtes;budgétirent;budgétisse;budgétisses;budgétît;budgétissions;budgétissiez;budgétissent
1688;aventure;aveais;aveais;aveaît;aveaissons;aveaissez;aveaissent;aveaissez;aveaissant;aveu;aveue;aveus;aveues;aveaîtrai;aveaîtras;aveaîtra;aveaîtrons;aveaîtrez;aveaîtront;aveaissais;aveaissais;aveaissait;aveaissions;aveaissiez;aveaissaient;aveaîtrais;aveaîtrais;aveaîtrait;aveaîtrions;aveaîtriez;aveaîtraient;aveaisse;aveaisses;aveaisse;aveaissions;aveaissiez;aveaissent;aveus;aveus;aveut;aveûmes;aveûtes;aveurent;aveusse;aveusses;aveût;aveussions;aveussiez;aveussent
1702;sanitaire;sanitais;sanitais;sanitait;sanitaisons;sanitaites;sanitont;sanitaites;sanitaisant;sanitait;sanitaite;sanitaits;sanitaites;saniterai;saniteras;sanitera;saniterons;saniterez;saniteront;sanitaisais;sanitaisais;sanitaisait;sanitaisions;sanitaisiez;sanitaisaient;saniterais;saniterais;saniterait;saniterions;saniteriez;saniteraient;sanitasse;sanitasses;sanitasse;sanitassions;sanitassiez;sanitassent;sanitis;sanitis;sanitit;sanitîmes;sanitîtes;sanitirent;sanitisse;sanitisses;sanitît;sanitissions;sanitissiez;sanitissent
1703;nécessiter;nécessite;nécessites;nécessite;nécessitons;nécessitez;nécessitent;nécessitez;nécessitant;nécessité;nécessitée;nécessités;nécessitées;nécessiterai;nécessiteras;nécessitera;nécessiterons;nécessiterez;nécessiteront;nécessitais;nécessitais;nécessitait;nécessitions;nécessitiez;nécessitaient;nécessiterais;nécessiterais;nécessiterait;nécessiterions;nécessiteriez;nécessiteraient;nécessite;nécessites;nécessite;nécessitions;nécessitiez;nécessitent;nécessitai;nécessitas;nécessita;nécessitâmes;nécessitâtes;nécessitèrent;nécessitasse;nécessitasses;nécessitât;nécessitassions;nécessitassiez;nécessitassent
1705;générer;génère;génères;génère;générons;générez;génèrent;générez;générant;généré;générée;générés;générées;générerai;généreras;générera;générerons;générerez;généreront;générais;générais;générait;générions;génériez;généraient;générerais;générerais;générerait;générerions;généreriez;généreraient;génère;génères;génère;générions;génériez;génèrent;générai;généras;généra;générâmes;générâtes;générèrent;générasse;générasses;générât;générassions;générassiez;générassent
1707;régulier;régulie;régulies;régulie;régulions;réguliez;régulient;réguliez;réguliant;régulié;réguliée;réguliés;réguliées;régulierai;régulieras;réguliera;régulierons;régulierez;régulieront;réguliais;réguliais;réguliait;réguliions;réguliiez;réguliaient;régulierais;régulierais;régulierait;régulierions;régulieriez;régulieraient;régulie;régulies;régulie;réguliions;réguliiez;régulient;réguliai;régulias;régulia;réguliâmes;réguliâtes;régulièrent;réguliasse;réguliasses;réguliât;réguliassions;réguliassiez;réguliassent
1708;abandonner;abandonne;abandonnes;abandonne;abandonnons;abandonnez;abandonnent;abandonnez;abandonnant;abandonné;abandonnée;abandonnés;abandonnées;abandonnerai;abandonneras;abandonnera;abandonnerons;abandonnerez;abandonneront;abandonnais;abandonnais;abandonnait;abandonnions;abandonniez;abandonnaient;abandonnerais;abandonnerais;abandonnerait;abandonnerions;abandonneriez;abandonneraient;abandonne;abandonnes;abandonne;abandonnions;abandonniez;abandonnent;abandonnai;abandonnas;abandonna;abandonnâmes;abandonnâtes;abandonnèrent;abandonnasse;abandonnasses;abandonnât;abandonnassions;abandonnassiez;abandonnassent
1711;féliciter;félicite;félicites;félicite;félicitons;félicitez;félicitent;félicitez;félicitant;félicité;félicitée;félicités;félicitées;féliciterai;féliciteras;félicitera;féliciterons;féliciterez;féliciteront;félicitais;félicitais;félicitait;félicitions;félicitiez;félicitaient;féliciterais;féliciterais;féliciterait;féliciterions;féliciteriez;féliciteraient;félicite;félicites;félicite;félicitions;félicitiez;félicitent;félicitai;félicitas;félicita;félicitâmes;félicitâtes;félicitèrent;félicitasse;félicitasses;félicitât;félicitassions;félicitassiez;félicitassent
1713;habiter;habite;habites;habite;habitons;habitez;habitent;habitez;habitant;habité;habitée;habités;habitées;habiterai;habiteras;habitera;habiterons;habiterez;habiteront;habitais;habitais;habitait;habitions;habitiez;habitaient;habiterais;habiterais;habiterait;habiterions;habiteriez;habiteraient;habite;habites;habite;habitions;habitiez;habitent;habitai;habitas;habita;habitâmes;habitâtes;habitèrent;habitasse;habitasses;habitât;habitassions;habitassiez;habitassent
1717;répéter;répète;répètes;répète;répétons;répétez;répètent;répétez;répétant;répété;répétée;répétés;répétées;répéterai;répéteras;répétera;répéterons;répéterez;répéteront;répétais;répétais;répétait;répétions;répétiez;répétaient;répéterais;répéterais;répéterait;répéterions;répéteriez;répéteraient;répète;répètes;répète;répétions;répétiez;répètent;répétai;répétas;répéta;répétâmes;répétâtes;répétèrent;répétasse;répétasses;répétât;répétassions;répétassiez;répétassent
1722;éliminer;élimine;élimines;élimine;éliminons;éliminez;éliminent;éliminez;éliminant;éliminé;éliminée;éliminés;éliminées;éliminerai;élimineras;éliminera;éliminerons;éliminerez;élimineront;éliminais;éliminais;éliminait;éliminions;éliminiez;éliminaient;éliminerais;éliminerais;éliminerait;éliminerions;élimineriez;élimineraient;élimine;élimines;élimine;éliminions;éliminiez;éliminent;éliminai;éliminas;élimina;éliminâmes;éliminâtes;éliminèrent;éliminasse;éliminasses;éliminât;éliminassions;éliminassiez;éliminassent
1724;remercier;remercie;remercies;remercie;remercions;remerciez;remercient;remerciez;remerciant;remercié;remerciée;remerciés;remerciées;remercierai;remercieras;remerciera;remercierons;remercierez;remercieront;remerciais;remerciais;remerciait;remerciions;remerciiez;remerciaient;remercierais;remercierais;remercierait;remercierions;remercieriez;remercieraient;remercie;remercies;remercie;remerciions;remerciiez;remercient;remerciai;remercias;remercia;remerciâmes;remerciâtes;remercièrent;remerciasse;remerciasses;remerciât;remerciassions;remerciassiez;remerciassent
1726;résoudre;résous;résous;résout;résolvons;résolvez;résolvent;résolvez;résolvant;résolu;résolue;résolus;résolues;résoudrai;résoudras;résoudra;résoudrons;résoudrez;résoudront;résolvais;résolvais;résolvait;résolvions;résolviez;résolvaient;résoudrais;résoudrais;résoudrait;résoudrions;résoudriez;résoudraient;résolve;résolves;résolve;résolvions;résolviez;résolvent;résolus;résolus;résolut;résolûmes;résolûtes;résolurent;résolusse;résolusses;résolût;résolussions;résolussiez;résolussent
1730;limiter;limite;limites;limite;limitons;limitez;limitent;limitez;limitant;limité;limitée;limités;limitées;limiterai;limiteras;limitera;limiterons;limiterez;limiteront;limitais;limitais;limitait;limitions;limitiez;limitaient;limiterais;limiterais;limiterait;limiterions;limiteriez;limiteraient;limite;limites;limite;limitions;limitiez;limitent;limitai;limitas;limita;limitâmes;limitâtes;limitèrent;limitasse;limitasses;limitât;limitassions;limitassiez;limitassent
1735;préserver;préserve;préserves;préserve;préservons;préservez;préservent;préservez;préservant;préservé;préservée;préservés;préservées;préserverai;préserveras;préservera;préserverons;préserverez;préserveront;préservais;préservais;préservait;préservions;préserviez;préservaient;préserverais;préserverais;préserverait;préserverions;préserveriez;préserveraient;préserve;préserves;préserve;préservions;préserviez;préservent;préservai;préservas;préserva;préservâmes;préservâtes;préservèrent;préservasse;préservasses;préservât;préservassions;préservassiez;préservassent
1738;correspondre;corresponds;corresponds;correspond;correspondons;correspondez;correspondent;correspondez;correspondant;correspondu;correspondue;correspondus;correspondues;correspondrai;correspondras;correspondra;correspondrons;correspondrez;correspondront;correspondais;correspondais;correspondait;correspondions;correspondiez;correspondaient;correspondrais;correspondrais;correspondrait;correspondrions;correspondriez;correspondraient;corresponde;correspondes;corresponde;correspondions;correspondiez;correspondent;correspondis;correspondis;correspondit;correspondîmes;correspondîtes;correspondirent;correspondisse;correspondisses;correspondît;correspondissions;correspondissiez;correspondissent
1742;consulter;consulte;consultes;consulte;consultons;consultez;consultent;consultez;consultant;consulté;consultée;consultés;consultées;consulterai;consulteras;consultera;consulterons;consulterez;consulteront;consultais;consultais;consultait;consultions;consultiez;consultaient;consulterais;consulterais;consulterait;consulterions;consulteriez;consulteraient;consulte;consultes;consulte;consultions;consultiez;consultent;consultai;consultas;consulta;consultâmes;consultâtes;consultèrent;consultasse;consultasses;consultât;consultassions;consultassiez;consultassent
1747;intéresser;intéresse;intéresses;intéresse;intéressons;intéressez;intéressent;intéressez;intéressant;intéressé;intéressée;intéressés;intéressées;intéresserai;intéresseras;intéressera;intéresserons;intéresserez;intéresseront;intéressais;intéressais;intéressait;intéressions;intéressiez;intéressaient;intéresserais;intéresserais;intéresserait;intéresserions;intéresseriez;intéresseraient;intéresse;intéresses;intéresse;intéressions;intéressiez;intéressent;intéressai;intéressas;intéressa;intéressâmes;intéressâtes;intéressèrent;intéressasse;intéressasses;intéressât;intéressassions;intéressassiez;intéressassent
1749;moindre;moins;moins;moint;moignons;moignez;moignent;moignez;moignant;moint;mointe;moints;mointes;moindrai;moindras;moindra;moindrons;moindrez;moindront;moignais;moignais;moignait;moignions;moigniez;moignaient;moindrais;moindrais;moindrait;moindrions;moindriez;moindraient;moigne;moignes;moigne;moignions;moigniez;moignent;moignis;moignis;moignit;moignîmes;moignîtes;moignirent;moignisse;moignisses;moignît;moignissions;moignissiez;moignissent
1750;retraire;retrais;retrais;retrait;retrayons;retrayez;retraient;retrayez;retrayant;retrait;retraite;retraits;retraites;retrairai;retrairas;retraira;retrairons;retrairez;retrairont;retrayais;retrayais;retrayait;retrayions;retrayiez;retrayaient;retrairais;retrairais;retrairait;retrairions;retrairiez;retrairaient;retraie;retraies;retraie;retrayions;retrayiez;retraient;;;;;;;;;;;;
1754;colère;coois;coois;cooit;cooyons;cooyez;cooient;cooyez;cooyant;cou;coue;cous;coues;cooirai;cooiras;cooira;cooirons;cooirez;cooiront;cooyais;cooyais;cooyait;cooyions;cooyiez;cooyaient;cooirais;cooirais;cooirait;cooirions;cooiriez;cooiraient;cooie;cooies;cooie;cooyions;cooyiez;cooient;cous;cous;cout;coûmes;coûtes;courent;cousse;cousses;coût;coussions;coussiez;coussent
1756;immobilier;immobilie;immobilies;immobilie;immobilions;immobiliez;immobilient;immobiliez;immobiliant;immobilié;immobiliée;immobiliés;immobiliées;immobilierai;immobilieras;immobiliera;immobilierons;immobilierez;immobilieront;immobiliais;immobiliais;immobiliait;immobiliions;immobiliiez;immobiliaient;immobilierais;immobilierais;immobilierait;immobilierions;immobilieriez;immobilieraient;immobilie;immobilies;immobilie;immobiliions;immobiliiez;immobilient;immobiliai;immobilias;immobilia;immobiliâmes;immobiliâtes;immobilièrent;immobiliasse;immobiliasses;immobiliât;immobiliassions;immobiliassiez;immobiliassent
1759;compléter;complète;complètes;complète;complétons;complétez;complètent;complétez;complétant;complété;complétée;complétés;complétées;compléterai;compléteras;complétera;compléterons;compléterez;compléteront;complétais;complétais;complétait;complétions;complétiez;complétaient;compléterais;compléterais;compléterait;compléterions;compléteriez;compléteraient;complète;complètes;complète;complétions;complétiez;complètent;complétai;complétas;compléta;complétâmes;complétâtes;complétèrent;complétasse;complétasses;complétât;complétassions;complétassiez;complétassent
1763;caractère;caracette;caracettes;caracette;caracetons;caracetez;caracettent;caracetez;caracetant;caraceté;caracetée;caracetés;caracetées;caracetterai;caracetteras;caracettera;caracetterons;caracetterez;caracetteront;caracetais;caracetais;caracetait;caracetions;caracetiez;caracetaient;caracetterais;caracetterais;caracetterait;caracetterions;caracetteriez;caracetteraient;caracette;caracettes;caracette;caracetions;caracetiez;caracettent;caracetai;caracetas;caraceta;caracetâmes;caracetâtes;caracetèrent;caracetasse;caracetasses;caracetât;caracetassions;caracetassiez;caracetassent
1764;exposer;expose;exposes;expose;exposons;exposez;exposent;exposez;exposant;exposé;exposée;exposés;exposées;exposerai;exposeras;exposera;exposerons;exposerez;exposeront;exposais;exposais;exposait;exposions;exposiez;exposaient;exposerais;exposerais;exposerait;exposerions;exposeriez;exposeraient;expose;exposes;expose;exposions;exposiez;exposent;exposai;exposas;exposa;exposâmes;exposâtes;exposèrent;exposasse;exposasses;exposât;exposassions;exposassiez;exposassent
1765;commentaire;commentais;commentais;commentait;commentaisons;commentaisez;commentaisent;commentaisez;commentaisant;commentu;commentue;commentus;commentues;commentairai;commentairas;commentaira;commentairons;commentairez;commentairont;commentaisais;commentaisais;commentaisait;commentaisions;commentaisiez;commentaisaient;commentairais;commentairais;commentairait;commentairions;commentairiez;commentairaient;commentaise;commentaises;commentaise;commentaisions;commentaisiez;commentaisent;commentus;commentus;commentut;commentûmes;commentûtes;commenturent;commentusse;commentusses;commentût;commentussions;commentussiez;commentussent
1770;mémoir;;;mémoit;;;mémoient;;méméant;mému;mémue;mémus;mémues;;;mémoira;;;mémoiront;;;mémoyait;;;mémoyaient;;;mémoirait;;;mémoiraient;;;mémoie;;;mémoient;;;mémut;;;mémurent;;;mémût;;;mémussent
1784;importer;importe;importes;importe;importons;importez;importent;importez;important;importé;importée;importés;importées;importerai;importeras;importera;importerons;importerez;importeront;importais;importais;importait;importions;importiez;importaient;importerais;importerais;importerait;importerions;importeriez;importeraient;importe;importes;importe;importions;importiez;importent;importai;importas;importa;importâmes;importâtes;importèrent;importasse;importasses;importât;importassions;importassiez;importassent
1794;annuler;annule;annules;annule;annulons;annulez;annulent;annulez;annulant;annulé;annulée;annulés;annulées;annulerai;annuleras;annulera;annulerons;annulerez;annuleront;annulais;annulais;annulait;annulions;annuliez;annulaient;annulerais;annulerais;annulerait;annulerions;annuleriez;annuleraient;annule;annules;annule;annulions;annuliez;annulent;annulai;annulas;annula;annulâmes;annulâtes;annulèrent;annulasse;annulasses;annulât;annulassions;annulassiez;annulassent
