rank;infinitiv;Ind_Präsens_1S;Ind_Präsens_2S;Indicatif_Présent_il_(elle,_on);Ind_Präsens_1P;Ind_Präsens_2P;Indicatif_Présent_ils_(elles);Imperatif_Imperatif_Présent_;Partizip_Präsens;Participe_Participe_Passé_masculin_singulier;Participe_Participe_Passé_feminin_singulier;Participe_Participe_Passé_masculin_pluriel;Participe_Participe_Passé_feminin_pluriel;Ind_Futur_1S;Ind_Futur_2S;Indicatif_Futur_il_(elle,_on);Ind_Futur_1P;Ind_Futur_2P;Indicatif_Futur_ils_(elles);Ind_Imperfekt_1S;Ind_Imperfekt_2S;Indicatif_Imparfait_il_(elle,_on);Ind_Imperfekt_1P;Ind_Imperfekt_2P;Indicatif_Imparfait_ils_(elles);Cond_Präsens_1S;Cond_Präsens_2S;Conditionnel_Présent_il_(elle,_on);Cond_Präsens_1P;Cond_Präsens_2P;Conditionnel_Présent_ils_(elles);Subjonctif_Présent_je;Subjonctif_Présent_tu;Subjonctif_Présent_il_(elle,_on);Subjonctif_Présent_nous;Subjonctif_Présent_vous;Subjonctif_Présent_ils_(elles);Indicatif_Passé_Simple_je;Indicatif_Passé_Simple_tu;Indicatif_Passé_Simple_il_(elle,_on);Indicatif_Passé_Simple_nous;Indicatif_Passé_Simple_vous;Indicatif_Passé_Simple_ils_(elles);Subjonctif_Imparfait_je;Subjonctif_Imparfait_tu;Subjonctif_Imparfait_il_(elle,_on);Subjonctif_Imparfait_nous;Subjonctif_Imparfait_vous;Subjonctif_Imparfait_ils_(elles)
5295;cahier;cahie;cahies;cahie;cahions;cahiez;cahient;cahiez;cahiant;cahié;cahiée;cahiés;cahiées;cahierai;cahieras;cahiera;cahierons;cahierez;cahieront;cahiais;cahiais;cahiait;cahiions;cahiiez;cahiaient;cahierais;cahierais;cahierait;cahierions;cahieriez;cahieraient;cahie;cahies;cahie;cahiions;cahiiez;cahient;cahiai;cahias;cahia;cahiâmes;cahiâtes;cahièrent;cahiasse;cahiasses;cahiât;cahiassions;cahiassiez;cahiassent
5296;enquêter;enquête;enquêtes;enquête;enquêtons;enquêtez;enquêtent;enquêtez;enquêtant;enquêté;enquêtée;enquêtés;enquêtées;enquêterai;enquêteras;enquêtera;enquêterons;enquêterez;enquêteront;enquêtais;enquêtais;enquêtait;enquêtions;enquêtiez;enquêtaient;enquêterais;enquêterais;enquêterait;enquêterions;enquêteriez;enquêteraient;enquête;enquêtes;enquête;enquêtions;enquêtiez;enquêtent;enquêtai;enquêtas;enquêta;enquêtâmes;enquêtâtes;enquêtèrent;enquêtasse;enquêtasses;enquêtât;enquêtassions;enquêtassiez;enquêtassent
5304;démissionnaire;démissionnais;démissionnais;démissionnait;démissionnaisons;démissionnaisez;démissionnaisent;démissionnaisez;démissionnaisant;démissionnait;démissionnaite;démissionnaits;démissionnaites;démissionnairai;démissionnairas;démissionnaira;démissionnairons;démissionnairez;démissionnairont;démissionnaisais;démissionnaisais;démissionnaisait;démissionnaisions;démissionnaisiez;démissionnaisaient;démissionnairais;démissionnairais;démissionnairait;démissionnairions;démissionnairiez;démissionnairaient;démissionnaise;démissionnaises;démissionnaise;démissionnaisions;démissionnaisiez;démissionnaisent;démissionnaisis;démissionnaisis;démissionnaisit;démissionnaisîmes;démissionnaisîtes;démissionnaisirent;démissionnaisisse;démissionnaisisses;démissionnaisît;démissionnaisissions;démissionnaisissiez;démissionnaisissent
5311;enfermer;enferme;enfermes;enferme;enfermons;enfermez;enferment;enfermez;enfermant;enfermé;enfermée;enfermés;enfermées;enfermerai;enfermeras;enfermera;enfermerons;enfermerez;enfermeront;enfermais;enfermais;enfermait;enfermions;enfermiez;enfermaient;enfermerais;enfermerais;enfermerait;enfermerions;enfermeriez;enfermeraient;enferme;enfermes;enferme;enfermions;enfermiez;enferment;enfermai;enfermas;enferma;enfermâmes;enfermâtes;enfermèrent;enfermasse;enfermasses;enfermât;enfermassions;enfermassiez;enfermassent
5313;bannière;banais;banais;banaît;banaissons;banaissez;banaissent;banaissez;banaissant;banu;banue;banus;banues;banaîtrai;banaîtras;banaîtra;banaîtrons;banaîtrez;banaîtront;banaissais;banaissais;banaissait;banaissions;banaissiez;banaissaient;banaîtrais;banaîtrais;banaîtrait;banaîtrions;banaîtriez;banaîtraient;banaisse;banaisses;banaisse;banaissions;banaissiez;banaissent;banus;banus;banut;banûmes;banûtes;banurent;banusse;banusses;banût;banussions;banussiez;banussent
5318;gonfler;gonfle;gonfles;gonfle;gonflons;gonflez;gonflent;gonflez;gonflant;gonflé;gonflée;gonflés;gonflées;gonflerai;gonfleras;gonflera;gonflerons;gonflerez;gonfleront;gonflais;gonflais;gonflait;gonflions;gonfliez;gonflaient;gonflerais;gonflerais;gonflerait;gonflerions;gonfleriez;gonfleraient;gonfle;gonfles;gonfle;gonflions;gonfliez;gonflent;gonflai;gonflas;gonfla;gonflâmes;gonflâtes;gonflèrent;gonflasse;gonflasses;gonflât;gonflassions;gonflassiez;gonflassent
5321;éclair;éclais;éclais;éclait;éclaissons;éclaissez;éclaissent;éclaissez;éclaissant;éclai;éclaie;éclais;éclaies;éclairai;éclairas;éclaira;éclairons;éclairez;éclairont;éclaissais;éclaissais;éclaissait;éclaissions;éclaissiez;éclaissaient;éclairais;éclairais;éclairait;éclairions;éclairiez;éclairaient;éclaisse;éclaisses;éclaisse;éclaissions;éclaissiez;éclaissent;éclais;éclais;éclait;éclaîmes;éclaîtes;éclairent;éclaisse;éclaisses;éclaît;éclaissions;éclaissiez;éclaissent
5328;claire;clais;clais;claît;claisons;claisez;claisent;claisez;claisant;clu;clue;clus;clues;clairai;clairas;claira;clairons;clairez;clairont;claisais;claisais;claisait;claisions;claisiez;claisaient;clairais;clairais;clairait;clairions;clairiez;clairaient;claise;claises;claise;claisions;claisiez;claisent;clus;clus;clut;clûmes;clûtes;clurent;clusse;clusses;clût;clussions;clussiez;clussent
5330;sinner;sinne;sinnes;sinne;sinnons;sinnez;sinnent;sinnez;sinnant;sinné;sinnée;sinnés;sinnées;sinnerai;sinneras;sinnera;sinnerons;sinnerez;sinneront;sinnais;sinnais;sinnait;sinnions;sinniez;sinnaient;sinnerais;sinnerais;sinnerait;sinnerions;sinneriez;sinneraient;sinne;sinnes;sinne;sinnions;sinniez;sinnent;sinnai;sinnas;sinna;sinnâmes;sinnâtes;sinnèrent;sinnasse;sinnasses;sinnât;sinnassions;sinnassiez;sinnassent
5331;prêtre;prêds;prêds;prêd;prêdons;prêdez;prêdent;prêdez;prêdant;prêdu;prêdue;prêdus;prêdues;prêdrai;prêdras;prêdra;prêdrons;prêdrez;prêdront;prêdais;prêdais;prêdait;prêdions;prêdiez;prêdaient;prêdrais;prêdrais;prêdrait;prêdrions;prêdriez;prêdraient;prêde;prêdes;prêde;prêdions;prêdiez;prêdent;prêdis;prêdis;prêdit;prêdîmes;prêdîtes;prêdirent;prêdisse;prêdisses;prêdît;prêdissions;prêdissiez;prêdissent
